doc_id,domain,silver_label
conf_761c0553c9bd7065,confession,STORY
ra_35fcbc499afb78be,ra,ADVICE
conf_bfb8bd751dda465c,confession,STORY
conf_3e7bc3c5fdd92777,confession,STORY
conf_822289c7b127dcdf,confession,STORY
ra_95a758bdb86a2b45,ra,ADVICE
ra_e228ff611bf81623,ra,ADVICE
conf_bc0a245c871ccde7,confession,STORY
ra_93dc723049a12ed9,ra,ADVICE
ra_55960e4f94d5bc23,ra,ADVICE
conf_04c7047924408c8e,confession,STORY
conf_9021b9e5e550b04a,confession,STORY
conf_3d287ecbf8d77e26,confession,STORY
conf_e1b39d6f02aa2440,confession,STORY
conf_caea944c0196ef97,confession,STORY
conf_30a3038a45fb1b4d,confession,STORY
ra_d5c1e6896f9c0534,ra,ADVICE
conf_3059786276372c92,confession,STORY
ra_df6f147d90d8c907,ra,ADVICE
conf_d48e5f684e93c3e4,confession,STORY
conf_030b5d7da4b66ece,confession,STORY
ra_dceea30de8c7404d,ra,ADVICE
ra_a86eb6b44cacba8c,ra,ADVICE
conf_675e847ff00cb1e9,confession,STORY
conf_c21ff23dbc8c8540,confession,STORY
conf_6f5c28e88c5c0b97,confession,STORY
conf_8625196ac643e053,confession,STORY
ra_96965045d652090d,ra,ADVICE
conf_a53e75c2c5d240af,confession,STORY
conf_919d3440f5970c7f,confession,STORY
conf_de3e3381f600a25d,confession,STORY
ra_3d396f4b793dfe63,ra,ADVICE
ra_00e6d438c61824c3,ra,ADVICE
ra_2f653e6fb8f4ffd9,ra,ADVICE
conf_f50e93268f2a0505,confession,STORY
ra_72ff2c4db6e9ccdb,ra,ADVICE
ra_73bfcbc4a5cdaa15,ra,ADVICE
ra_7c40064c27f302cc,ra,ADVICE
ra_67e2ad3cd42168bb,ra,ADVICE
ra_2f1ec9b26b1d06ee,ra,ADVICE
conf_8c8ff3a779d21fa2,confession,STORY
conf_5f9606e268f290c4,confession,STORY
conf_19617d239703adb0,confession,STORY
conf_f12244a1b0f6bada,confession,STORY
conf_6935a7b620dbd1b3,confession,STORY
conf_f38eb14396763225,confession,STORY
conf_2b84d711a39b294d,confession,STORY
ra_bca4a937d69beb81,ra,ADVICE
ra_b817c635a8949e31,ra,ADVICE
ra_5aedbf93bb0336b8,ra,ADVICE
conf_4069612867b39aac,confession,STORY
conf_a20893adb67cc3cc,confession,STORY
ra_96691b56ba9c18cc,ra,ADVICE
ra_a5378d31999b0d4b,ra,ADVICE
conf_1f67ce531228290e,confession,STORY
ra_2ad79bd506e92b5d,ra,ADVICE
conf_10034ddeebe52406,confession,STORY
ra_ee68356804109c80,ra,ADVICE
conf_1bf97b20263be8bb,confession,STORY
ra_dc61ed8a76ad5339,ra,ADVICE
conf_e651cdf2fe9b51f8,confession,STORY
ra_daceb7aa1ad6cd52,ra,ADVICE
ra_e690f814798c5c59,ra,ADVICE
ra_b58168fcaf314cf5,ra,ADVICE
conf_4e779922fb0c9c9e,confession,STORY
ra_8b9344200f0c8a34,ra,ADVICE
ra_e1430f171b6c3fbe,ra,ADVICE
conf_d0f59d1e2adafb84,confession,STORY
conf_dd7c6d0d90db5838,confession,STORY
ra_6a2cc5469c49821f,ra,ADVICE
ra_a685bbca2fab11e3,ra,ADVICE
ra_932d7368a6cc4ca8,ra,ADVICE
ra_233c75b7ea5d41fe,ra,ADVICE
conf_5ff0eb46f5f1a480,confession,STORY
ra_acc7f00a25c03746,ra,ADVICE
conf_8ed7b7857e057f1d,confession,STORY
conf_c38fd79b841d4632,confession,STORY
ra_0a1684f70d60a194,ra,ADVICE
ra_c4704b7c87ab6841,ra,ADVICE
ra_ad3ec4a8e0c9f686,ra,ADVICE
ra_e66eed1dbbaf15de,ra,ADVICE
ra_df1369337ec595c6,ra,ADVICE
conf_54fea7a6f4fa5fca,confession,STORY
conf_6af477e358df236e,confession,STORY
ra_d40d982b03753291,ra,ADVICE
ra_9c823d14aed09d3d,ra,ADVICE
ra_bc70cef34eb881fd,ra,ADVICE
ra_96f5ee15c0eb912b,ra,ADVICE
ra_87d02b8613899d89,ra,ADVICE
conf_adca74ec03a3adc4,confession,STORY
conf_9b1dba517648a235,confession,STORY
ra_1e1ba1efb762b423,ra,ADVICE
ra_b6e089333c046a76,ra,ADVICE
conf_74d2219483fdd8ab,confession,STORY
conf_ccc59b81e038b55a,confession,STORY
ra_9a26ae83cb67a5d2,ra,ADVICE
conf_cb798ca204f5d2fb,confession,STORY
conf_ee3ef16e259c3081,confession,STORY
ra_7ace02920acc3627,ra,ADVICE
ra_94075a6a01b0b07e,ra,ADVICE
conf_01e5eac8edc27834,confession,STORY
conf_5eb6ca124005dbe5,confession,STORY
conf_93936245b1b8740e,confession,STORY
conf_456694b3e4020095,confession,STORY
conf_a220b6cb026872cd,confession,STORY
ra_1ffc582eba7fa470,ra,ADVICE
conf_4884ccb626871b79,confession,STORY
conf_e92cde90a938600e,confession,STORY
conf_7007d02995aece16,confession,STORY
conf_7e4a912ff20b0bd9,confession,STORY
conf_cf4931f56914217f,confession,STORY
ra_22b9407af2d05de7,ra,ADVICE
conf_702f5310100a2aa9,confession,STORY
ra_b3f5e9fb45666b15,ra,ADVICE
conf_a3934f6f0c694066,confession,STORY
conf_38db336ce0655457,confession,STORY
conf_212e9775e073e91a,confession,STORY
conf_6f1718109f1398f7,confession,STORY
conf_994ac04ae85b1efc,confession,STORY
ra_6e717702fea94bb0,ra,ADVICE
conf_5daef077e379844c,confession,STORY
conf_0bd4a9b3230d5633,confession,STORY
conf_711e840dcb3796ca,confession,STORY
ra_34e324746cbdebaa,ra,ADVICE
ra_266bc63455c21a29,ra,ADVICE
conf_e1a62ff84d6443c9,confession,STORY
ra_6b8254800c529509,ra,ADVICE
ra_e3a533af9be6b688,ra,ADVICE
conf_36820d11bacbb5f0,confession,STORY
conf_feb15e3be7fd1686,confession,STORY
ra_be84b309c07a7e41,ra,ADVICE
conf_14a9d9017a0e5159,confession,STORY
ra_384f3f4bc89b5fc1,ra,ADVICE
conf_cdf2a355436274ab,confession,STORY
conf_67d0581ce75d75ce,confession,STORY
conf_a6292c0732afc8f8,confession,STORY
conf_ca9d7243d7ee3a66,confession,STORY
ra_396fcba904101b40,ra,ADVICE
ra_d61e3a22007db2d0,ra,ADVICE
conf_ff8dce6303c22789,confession,STORY
ra_4500941273c8c413,ra,ADVICE
conf_96be0761f8dc4ccb,confession,STORY
conf_cddb6c7ad17f5e58,confession,STORY
ra_c51b6c9ab9d19a9e,ra,ADVICE
conf_f2ca6c26b80e2b4a,confession,STORY
ra_c60e7e882b900272,ra,ADVICE
ra_57fa2410b97ed297,ra,ADVICE
conf_ec707206284831e1,confession,STORY
ra_355764e986a8eaf3,ra,ADVICE
conf_ee6bb12afa1c0767,confession,STORY
ra_eb6d00966b55a796,ra,ADVICE
conf_a84b9a23b4be678f,confession,STORY
ra_67959848af94f467,ra,ADVICE
ra_b4b686dab391f526,ra,ADVICE
ra_8aef9e79c6228274,ra,ADVICE
ra_82e0874ad9ef6581,ra,ADVICE
conf_47e336fb478d2e0d,confession,STORY
conf_e4caf05a86dd4f1e,confession,STORY
ra_3564de6d8c4dbc5e,ra,ADVICE
conf_e0708e66d7cf9b06,confession,STORY
ra_593ff50f6d3b950f,ra,ADVICE
ra_8cdc753d620c04a7,ra,ADVICE
ra_779b1cdd103a9ee8,ra,ADVICE
conf_45287cc5c86c9e27,confession,STORY
conf_83505f9a80d7698b,confession,STORY
ra_3731e86369375fda,ra,ADVICE
conf_cc736f4d9ac2f324,confession,STORY
conf_9d3f8ea34b77056f,confession,STORY
ra_2c8cb0a8191106a0,ra,ADVICE
ra_e07ec164e6566d66,ra,ADVICE
conf_86e66b93d3cfd3da,confession,STORY
conf_0726e66c5ffc2b92,confession,STORY
conf_ea1b713a87530b53,confession,STORY
conf_eb9f32d60441b528,confession,STORY
ra_74eb21a961ca9620,ra,ADVICE
ra_f3c6ca8998889501,ra,ADVICE
conf_702578601681c83f,confession,STORY
ra_2faa4af7d0cfed8a,ra,ADVICE
ra_0aeb7b4838be94dd,ra,ADVICE
ra_6cc5fad2418099cd,ra,ADVICE
ra_de58afa11b1c7ac4,ra,ADVICE
ra_1c911eeb6c1933c1,ra,ADVICE
ra_6648f11f95d774d4,ra,ADVICE
ra_b5103c6d6bef435b,ra,ADVICE
ra_19bb4f958f3e2c6b,ra,ADVICE
ra_a9b11e65e8b24f8f,ra,ADVICE
ra_7b01198e68796e95,ra,ADVICE
ra_ff8a52ee0e4c3884,ra,ADVICE
conf_0c3b7a038d30d11c,confession,STORY
conf_dc0eb2967ec8256e,confession,STORY
ra_467b5a81db1fed00,ra,ADVICE
conf_4a3b42d13b55af3c,confession,STORY
ra_7d5b2b4f27b2e9eb,ra,ADVICE
conf_64bc3e9dbd5f61fc,confession,STORY
ra_3ca164b02991b7ac,ra,ADVICE
ra_dd110d02f3124baa,ra,ADVICE
ra_78f8f973f56a985d,ra,ADVICE
ra_7e9ff9164e7c770d,ra,ADVICE
conf_ff9745c344cb80d7,confession,STORY
conf_64349db753af4882,confession,STORY
ra_cfecdb24b5362d3d,ra,ADVICE
ra_04cba3ee410f4144,ra,ADVICE
ra_9b615827ce112daf,ra,ADVICE
ra_9b0269e61fdd42a8,ra,ADVICE
conf_271eb33f3d11cd3c,confession,STORY
conf_3e22c618a2e6d9a2,confession,STORY
ra_a8ef59d17376ccb1,ra,ADVICE
ra_f334935c21afd838,ra,ADVICE
ra_191024d8934c856b,ra,ADVICE
conf_fe86bc3dbbaf1391,confession,STORY
ra_701a51336ed4ebe0,ra,ADVICE
ra_636ba751954d1376,ra,ADVICE
conf_48b176586e095309,confession,STORY
conf_b3bab1fcd2e82685,confession,STORY
conf_849accbbda84dbba,confession,STORY
conf_6bb0a4196b889cff,confession,STORY
conf_d46e91891b5b3bee,confession,STORY
ra_e595f85e87657f87,ra,ADVICE
ra_b4f93ae9aa139dc8,ra,ADVICE
ra_bb33c277bf6c68d7,ra,ADVICE
ra_d8ab97b605bea04e,ra,ADVICE
ra_6bbece9beb6d389a,ra,ADVICE
conf_acb1e4d1c6578149,confession,STORY
ra_d883298b72a2dd2b,ra,ADVICE
ra_150c71f203bbd6fb,ra,ADVICE
ra_501eb8fd15967a4f,ra,ADVICE
conf_4eec3957bba4a179,confession,STORY
ra_bddc179b1face242,ra,ADVICE
ra_8451dffadbc8697a,ra,ADVICE
conf_7f981c4ab8a1fd6a,confession,STORY
ra_ff5b91254e5ddc62,ra,ADVICE
conf_8cec18f809962f37,confession,STORY
conf_faf46d1900c136d9,confession,STORY
conf_0af8ffd49bac7c06,confession,STORY
conf_19e8693b28df510c,confession,STORY
ra_c6c2d821112ae055,ra,ADVICE
conf_fe26c8fdc4588792,confession,STORY
conf_1a98200525211988,confession,STORY
conf_ea86bcbb6781334e,confession,STORY
ra_13733d06ab54c614,ra,ADVICE
ra_dea5bed5688275b0,ra,ADVICE
ra_dbf613e935656613,ra,ADVICE
conf_b08fe75913421536,confession,STORY
ra_24e294c5fda15f58,ra,ADVICE
conf_d32d0b9c398ec14a,confession,STORY
conf_f183017fed74a926,confession,STORY
ra_3d8d4e7d34402264,ra,ADVICE
ra_c6ebb3c2674f394c,ra,ADVICE
ra_e0a2e979aabd3f5d,ra,ADVICE
conf_f7d5fb10e030d1db,confession,STORY
ra_c78dfe4cd350857e,ra,ADVICE
ra_879aa7252d75c4f9,ra,ADVICE
ra_60d29aa1dde063ef,ra,ADVICE
conf_12706ae428537705,confession,STORY
ra_81454e32ccaf8c0d,ra,ADVICE
ra_8dfd5ad72951dccf,ra,ADVICE
ra_cc8ba78c26b8a150,ra,ADVICE
ra_1ebc786d7e635c65,ra,ADVICE
conf_7f70445651d6ea9a,confession,STORY
conf_ed4508135f030a2b,confession,STORY
ra_34d0c0d99c2f203b,ra,ADVICE
conf_ac9144877502e2a1,confession,STORY
conf_13a6eef09dea4935,confession,STORY
ra_e434997c9769f6bb,ra,ADVICE
conf_7333b13877cc2df2,confession,STORY
conf_300332a776b190ed,confession,STORY
conf_fce9e6ada30779b2,confession,STORY
conf_7d97a0fd3b8fdad7,confession,STORY
ra_dc5bd7ce5c5c314e,ra,ADVICE
conf_701cc095811036c1,confession,STORY
ra_602274a0bec74e21,ra,ADVICE
conf_bd030ade13ed2c00,confession,STORY
conf_cd45b375dfba24d1,confession,STORY
conf_56d6d691a207c4f8,confession,STORY
ra_4984bb230d357fbe,ra,ADVICE
conf_40c772a293e22598,confession,STORY
conf_c327bd287f29295b,confession,STORY
conf_b2f380c82b9c537f,confession,STORY
conf_717a3bc88eb159f2,confession,STORY
ra_878f5f873b7f8b4a,ra,ADVICE
conf_2db09bb9f1ab0fe4,confession,STORY
conf_391d7ba1417b73ff,confession,STORY
conf_107fb2a5b92c2822,confession,STORY
conf_06b469598cf31df0,confession,STORY
conf_2763a40992e1730d,confession,STORY
ra_ecb5c1f10ec0df54,ra,ADVICE
conf_195c4638fe421fbf,confession,STORY
conf_8d05f8a88689cd29,confession,STORY
ra_485aae3cd0c31216,ra,ADVICE
ra_820005ec2e2fdf19,ra,ADVICE
conf_28f4a914e3f44369,confession,STORY
conf_f571503627e68e38,confession,STORY
ra_13dd7fdc507d5796,ra,ADVICE
conf_e5f57645041a3550,confession,STORY
ra_8850294777702d93,ra,ADVICE
ra_de734a873533d918,ra,ADVICE
conf_eb60e55aa55173e0,confession,STORY
ra_ee5f6d29754500a1,ra,ADVICE
ra_864ef6caa52af45c,ra,ADVICE
ra_98cb3d5051ae440d,ra,ADVICE
ra_c671ca59964099a2,ra,ADVICE
ra_0727799a3c38374c,ra,ADVICE
conf_2bcdf504a02278a0,confession,STORY
conf_52799d5645642071,confession,STORY
conf_9d52625010a8ce7f,confession,STORY
conf_a4d130271d75d61e,confession,STORY
ra_a8760f8b54bcdbd1,ra,ADVICE
ra_2d42586419cf5eef,ra,ADVICE
conf_9f4a6d48762067e8,confession,STORY
conf_7438fa7838e1d28a,confession,STORY
ra_03118b9e7c9fdd90,ra,ADVICE
ra_53498cd07fc9419a,ra,ADVICE
ra_1a7c8bfcf6fc3742,ra,ADVICE
ra_da6d7a94b7db2f0b,ra,ADVICE
ra_76e4b292f6e3021f,ra,ADVICE
conf_fe365ad20c4fcbbc,confession,STORY
ra_3b1667d4f20c99c5,ra,ADVICE
ra_e97f24f8ec5cc398,ra,ADVICE
conf_21deec067cf1be58,confession,STORY
ra_035f20ac19fe45ae,ra,ADVICE
conf_00732d837d72d29e,confession,STORY
ra_e841988a42573566,ra,ADVICE
ra_4ba89b9695ab6d07,ra,ADVICE
ra_f11985ac69740c70,ra,ADVICE
ra_a741218cd3262361,ra,ADVICE
conf_c486b02c4b66ae91,confession,STORY
conf_d45abfe24f13bf4b,confession,STORY
conf_88572e47eea0a61f,confession,STORY
ra_6e0eab25583349ce,ra,ADVICE
ra_5ce200c9faa88e89,ra,ADVICE
ra_b1518699fd63f422,ra,ADVICE
conf_f36821ee438f9629,confession,STORY
ra_854bfbaba06b6b7b,ra,ADVICE
ra_43573cf7784d0af6,ra,ADVICE
ra_5a9f349929dea47c,ra,ADVICE
conf_b77d7a3bd5eafb72,confession,STORY
ra_9a6e65f5c6a7d320,ra,ADVICE
conf_0de541127bad1d51,confession,STORY
conf_1f9b046e59898b1b,confession,STORY
conf_aef3d061144ebba2,confession,STORY
ra_fe88f1ba0684da6e,ra,ADVICE
conf_3f05f450b2bcc7c2,confession,STORY
ra_9bf50d21a67ccb5b,ra,ADVICE
conf_d30a4981cbe82c10,confession,STORY
conf_1656f3f9783b8cc4,confession,STORY
conf_81b48189d82a83fb,confession,STORY
ra_714d3b0322a1d344,ra,ADVICE
ra_31afff3538225e88,ra,ADVICE
ra_be79a9c824dbb440,ra,ADVICE
conf_d91c347c739820d9,confession,STORY
ra_623e7de075965b26,ra,ADVICE
ra_9cfd2b60f11542be,ra,ADVICE
conf_e867f05a61e33e4a,confession,STORY
conf_da83a8a67e195cee,confession,STORY
ra_dbb58281def1ca98,ra,ADVICE
conf_5913c6ea044104bc,confession,STORY
ra_08f23df4ed447be2,ra,ADVICE
ra_3f8438d553440c7f,ra,ADVICE
conf_41fa767aab32eabe,confession,STORY
ra_1833e367eb179068,ra,ADVICE
conf_55d4debc73086446,confession,STORY
ra_8b4520eddb4fbbb3,ra,ADVICE
ra_991f25b5c54cfc90,ra,ADVICE
ra_e24a4f6ab0691fa2,ra,ADVICE
conf_b67d60dca2d0a834,confession,STORY
ra_43d17ff282bccc07,ra,ADVICE
conf_56a4cd9a13f01817,confession,STORY
ra_102fa4a27f9be62c,ra,ADVICE
conf_4672407f6c9262fe,confession,STORY
ra_0662c6a5eb0b5402,ra,ADVICE
conf_021da34abac490d6,confession,STORY
conf_ba2201f15df55bd0,confession,STORY
ra_49689e9615471962,ra,ADVICE
conf_050fcaaae445a4ef,confession,STORY
ra_1c0354efbafd8618,ra,ADVICE
conf_462ad55086854e4d,confession,STORY
conf_9121dd401b731e8b,confession,STORY
ra_381fa88b0cd1f408,ra,ADVICE
ra_7b5ac9d0a73c63fb,ra,ADVICE
ra_58471ee8a0942364,ra,ADVICE
ra_6a9c6fb4d288b588,ra,ADVICE
ra_e07934e046010e94,ra,ADVICE
ra_2d7b6d64faae6f53,ra,ADVICE
ra_57a33efbe9012deb,ra,ADVICE
conf_01ec68722cdea58b,confession,STORY
conf_3b0e75442c2ede86,confession,STORY
ra_290b3bac82209138,ra,ADVICE
conf_7a938ee88b93ff7f,confession,STORY
ra_e0c82c0481e76cf1,ra,ADVICE
ra_4b71f34b07be212f,ra,ADVICE
ra_6512b09e7e95151f,ra,ADVICE
conf_14ecade0f664ac7a,confession,STORY
ra_2f38cec2db0af0a5,ra,ADVICE
ra_51b6dbdd6ec6976b,ra,ADVICE
ra_1157c8d34b645e46,ra,ADVICE
conf_4d3e15308015b456,confession,STORY
ra_e36d76bbed5187b2,ra,ADVICE
ra_d9f186523d2a439a,ra,ADVICE
conf_4df23ab4a88e3cec,confession,STORY
conf_6e9348136a95e98f,confession,STORY
ra_c7a944621724ec65,ra,ADVICE
ra_c41fc4e34faaca97,ra,ADVICE
ra_a58a6d5bba67f07a,ra,ADVICE
conf_a6198d431095436a,confession,STORY
conf_d08426b2701008bf,confession,STORY
conf_61520eb291736e14,confession,STORY
ra_515ba7a557e3e9df,ra,ADVICE
ra_4a380428be995b8a,ra,ADVICE
conf_13faa899427b4bf1,confession,STORY
ra_bc986478b290f2ba,ra,ADVICE
conf_2b050dca25b74840,confession,STORY
ra_e0acfd41db197ea5,ra,ADVICE
conf_06c9d1b35280aaa5,confession,STORY
ra_8afd11ac77c7ec7d,ra,ADVICE
conf_d7d42c27e1bf11f4,confession,STORY
conf_361ed79602cd09d2,confession,STORY
ra_656df279dd54c91b,ra,ADVICE
conf_12e1682b72ff374c,confession,STORY
ra_0f0eb2552e07d6b9,ra,ADVICE
conf_612e5c78e4a44d66,confession,STORY
ra_920e6d83024556bd,ra,ADVICE
ra_3d44fb715af8496e,ra,ADVICE
ra_a0ddcdc6e718b96e,ra,ADVICE
conf_c72a2b8f6fcc20da,confession,STORY
ra_ae73883e23ea346a,ra,ADVICE
conf_77fc691948194158,confession,STORY
conf_496dd8c6be63f2dc,confession,STORY
conf_f36c5939c13c7818,confession,STORY
ra_3b7add29764c10e8,ra,ADVICE
conf_2f99291397926c7b,confession,STORY
conf_03e7a4f52b760b90,confession,STORY
ra_089de6da2e4b34e8,ra,ADVICE
conf_40978882ace2df29,confession,STORY
conf_e04b30213618c242,confession,STORY
ra_a68325cae35345f2,ra,ADVICE
ra_022f73627679fb5f,ra,ADVICE
conf_559cf405da6eb043,confession,STORY
conf_c8be32c6441a3003,confession,STORY
